physics_score,chemistry_score,maths_score,total_score,attempted_questions,correct_questions,wrong_questions,unattempted_questions,negative_marks,accuracy_percent,total_time_seconds,avg_time_per_question_sec,time_physics_sec,time_chemistry_sec,time_maths_sec,easy_accuracy_percent,medium_accuracy_percent,hard_accuracy_percent,attempt_consistency_score,guessing_tendency_score,speed_variation_score,approx_percentile,approx_rank
35,70,85,190,75,53,22,15,22,70.66666666666667,10800.0,144.0,3450.1943576377116,3527.765212347173,3822.0404300151154,83.33333333333334,58.82352941176471,72.72727272727273,96.55698081132033,29.333333333333332,14.430777416997834,74.16541769507594,408186
35,80,70,185,75,52,23,15,23,69.33333333333334,10800.0,144.0,3564.061742744904,3485.7128361221526,3750.225421132943,63.33333333333333,82.35294117647058,45.45454545454545,97.55080939804823,30.666666666666664,18.645068346091705,72.20931718106442,439092
70,80,10,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3632.277787338645,3320.3053564980164,3847.4168561633387,73.33333333333333,58.82352941176471,45.45454545454545,95.11933796606182,37.333333333333336,19.753066286422975,64.86654364228244,555108
50,65,5,120,75,39,36,15,36,52.0,10800.0,144.0,3242.0499248128767,3201.00730584714,4356.942769339984,60.0,52.94117647058824,27.27272727272727,89.29689385654773,48.0,17.371306762822577,56.57375466296589,686134
90,75,40,205,75,56,19,15,19,74.66666666666667,10800.0,144.0,3242.037635466077,3367.8705141578243,4190.091850376099,86.66666666666667,70.58823529411765,54.54545454545454,91.22172023231462,25.333333333333336,11.135816249525748,76.39207962996399,373005
45,50,45,140,75,43,32,15,32,57.333333333333336,10800.0,144.0,3211.89782428422,3260.8846036236187,4327.2175720921605,63.33333333333333,61.76470588235294,27.27272727272727,89.67296529807463,42.66666666666667,22.327399034541152,64.34873034406891,563290
30,40,5,75,75,30,45,15,45,40.0,10800.0,144.0,3515.032187783746,3480.9063208409752,3804.061491375279,46.666666666666664,44.11764705882353,9.090909090909092,97.00782249505274,60.0,11.288331188131338,49.53045238834996,797418
65,15,65,145,75,44,31,15,31,58.666666666666664,10800.0,144.0,3460.916041088676,3687.7784618724654,3651.3054970388584,60.0,61.76470588235294,45.45454545454545,97.89942202977973,41.333333333333336,10.02564459389399,63.65830580107479,574198
50,5,40,95,75,34,41,15,41,45.33333333333333,10800.0,144.0,3574.164290511392,3376.797758328829,3849.037951159779,50.0,47.05882352941176,27.27272727272727,95.62740562193565,54.666666666666664,19.770835105829406,53.63807455199802,732518
60,40,0,100,75,32,43,15,43,42.66666666666667,10800.0,144.0,3223.877020329232,3578.1226201829663,3998.000359487802,50.0,47.05882352941176,9.090909090909092,92.8321913040873,57.333333333333336,15.843759492359435,53.05942576320027,741661
5,90,0,95,75,33,42,15,42,44.0,10800.0,144.0,3246.876938681475,3589.4441047561054,3963.67895656242,56.666666666666664,35.294117647058826,36.36363636363637,93.36294427888015,56.00000000000001,19.031764388457603,53.135705389518556,740455
50,85,0,135,75,39,36,15,36,52.0,10800.0,144.0,3231.747255420912,3430.394794628429,4137.857949950659,60.0,44.11764705882353,54.54545454545454,91.6100861617616,48.0,22.32358099476597,60.412262415659605,625486
25,70,30,125,75,40,35,15,35,53.333333333333336,10800.0,144.0,3304.152621891788,3567.3466523636826,3928.5007257445295,53.333333333333336,55.88235294117647,45.45454545454545,94.21899903840054,46.666666666666664,16.02988126203263,58.547222746410945,654953
30,35,40,105,75,36,39,15,39,48.0,10800.0,144.0,3412.5132140594133,3507.5613303179675,3879.925455622619,60.0,38.23529411764706,45.45454545454545,95.67210887441476,52.0,17.508493493433754,56.43501819678174,688326
50,65,0,115,75,35,40,15,40,46.666666666666664,10800.0,144.0,3599.0317225488857,3475.1131828063576,3725.855094644757,46.666666666666664,50.0,36.36363636363637,97.67831563112593,53.333333333333336,14.800124713170185,56.05878860336595,694271
0,80,0,80,75,29,46,15,46,38.666666666666664,10800.0,144.0,3683.8703174083025,3321.492839979743,3794.6368426119548,56.666666666666664,29.411764705882355,18.181818181818183,95.6190370126647,61.33333333333333,22.15196675293931,46.40809671017577,846752
20,20,70,110,75,37,38,15,38,49.333333333333336,10800.0,144.0,3600.7595040813453,3538.9360550648094,3660.304440853846,53.333333333333336,50.0,36.36363636363637,98.87621865010152,50.66666666666667,13.432297582937254,57.47873170348459,671836
70,55,10,135,75,42,33,15,33,56.00000000000001,10800.0,144.0,3637.5514375942826,3441.079778615203,3721.368783790515,63.33333333333333,58.82352941176471,27.27272727272727,97.40473143356192,44.0,10.676501968019718,62.61561424216938,590673
50,60,0,110,75,33,42,15,42,44.0,10800.0,144.0,3506.1632028414315,3645.849080188782,3647.9877169697866,53.333333333333336,44.11764705882353,18.181818181818183,98.68681005436709,56.00000000000001,16.880340295153548,56.21677338038059,691774
85,10,0,95,75,31,44,15,44,41.333333333333336,10800.0,144.0,3442.168881645328,3270.1880724104194,4087.6430459442527,40.0,44.11764705882353,36.36363636363637,92.43097246727932,58.666666666666664,16.123137612921557,51.86517598393264,760530
0,70,45,115,75,36,39,15,39,48.0,10800.0,144.0,3578.6091979595626,3695.5869137349227,3525.803888305515,66.66666666666666,38.23529411764706,27.27272727272727,98.4279349497277,52.0,14.65396461579265,57.428870902020805,672623
40,25,45,110,75,37,38,15,38,49.333333333333336,10800.0,144.0,3476.7569374977766,3204.9354894697813,4118.307573032442,56.666666666666664,52.94117647058824,18.181818181818183,91.54285107812352,50.66666666666667,19.1470802019536,57.60755486652984,669800
0,40,25,65,75,27,48,15,48,36.0,10800.0,144.0,3485.9485326529316,3231.188827606099,4082.862639740969,30.0,44.11764705882353,27.27272727272727,92.11413136912157,64.0,19.632028060179994,44.00606152731898,884704
40,5,55,100,75,35,40,15,40,46.666666666666664,10800.0,144.0,3279.928143131737,3516.87615174628,4003.1957051219824,43.333333333333336,47.05882352941176,54.54545454545454,93.30307812971995,53.333333333333336,18.371246951397254,54.91077250562308,712409
45,20,0,65,75,28,47,15,47,37.333333333333336,10800.0,144.0,3407.6983175057776,3472.3817872555805,3919.919895238642,36.666666666666664,38.23529411764706,36.36363636363637,95.25720761358458,62.66666666666667,22.429644087272774,44.62428240710992,874936
85,40,35,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3293.094518282808,3436.6160409818413,4070.2894407353506,56.666666666666664,70.58823529411765,54.54545454545454,92.80375071803202,37.333333333333336,20.416143457131405,66.65367905910072,526871
60,25,0,85,75,30,45,15,45,40.0,10800.0,144.0,3382.496145422611,3330.1916538385426,4087.312200738847,36.666666666666664,44.11764705882353,36.36363636363637,92.98962456573791,60.0,21.53275487463131,47.97561839643549,821985
10,55,50,115,75,38,37,15,37,50.66666666666667,10800.0,144.0,3511.126982782353,3667.0886967707725,3621.784320446875,60.0,50.0,27.27272727272727,98.55591005566278,49.333333333333336,13.226791716703246,56.600919536564014,685705
75,15,90,180,75,51,24,15,24,68.0,10800.0,144.0,3311.601137867524,3310.530919133521,4177.867942998955,70.0,76.47058823529412,36.36363636363637,91.96910163087561,32.0,22.679857441420506,74.21745413174654,407364
65,75,75,215,75,58,17,15,17,77.33333333333333,10800.0,144.0,3687.789667014789,3272.148802028912,3840.0615309562986,86.66666666666667,76.47058823529412,54.54545454545454,94.74154880622791,22.666666666666664,10.919162530072667,80.33924845454122,310639
90,55,60,205,75,56,19,15,19,74.66666666666667,10800.0,144.0,3679.18800860602,3475.102366480722,3645.709624913258,66.66666666666666,91.17647058823529,45.45454545454545,98.11031812846946,25.333333333333336,12.029317441653912,78.02484434006529,347207
90,0,55,145,75,41,34,15,34,54.666666666666664,10800.0,144.0,3281.5894283395414,3323.2861017440896,4195.124469916369,66.66666666666666,47.05882352941176,45.45454545454545,91.54134220762197,45.33333333333333,21.535174302826427,62.927829755622334,585740
0,55,10,65,75,26,49,15,49,34.66666666666667,10800.0,144.0,3519.540489711944,3479.244452014113,3801.2150582739428,46.666666666666664,32.35294117647059,9.090909090909092,97.01879068277935,65.33333333333333,15.081299616680733,46.17636045736945,850413
90,60,85,235,75,62,13,15,13,82.66666666666667,10800.0,144.0,3477.905881471981,3298.418619965228,4023.675498562791,93.33333333333333,82.35294117647058,54.54545454545454,93.28465853150405,17.333333333333336,13.69319420089941,84.27646225607984,248431
20,5,35,60,75,27,48,15,48,36.0,10800.0,144.0,3619.1014169423975,3357.1309922732976,3823.7675907843045,40.0,32.35294117647059,36.36363636363637,95.67929075452771,64.0,24.68544548585631,46.452361151312495,846052
0,90,0,90,75,25,50,15,50,33.33333333333333,10800.0,144.0,3422.1239336117505,3627.3470931534325,3750.528973234817,30.0,35.294117647058826,36.36363636363637,96.95921259608271,66.66666666666666,24.121176691498004,51.06925628507687,773105
0,40,0,40,75,16,59,15,59,21.333333333333336,10800.0,144.0,3374.38986046587,3294.4816840317058,4131.128455502425,16.666666666666664,32.35294117647059,0.0,92.25327063453038,78.66666666666666,11.97647139241053,41.678477083899885,921480
85,55,0,140,75,40,35,15,35,53.333333333333336,10800.0,144.0,3555.06792673813,3460.825505094365,3784.106568167505,66.66666666666666,50.0,27.27272727272727,97.00665682339685,46.666666666666664,13.31810516563113,62.87189453944757,586624
35,30,55,120,75,39,36,15,36,52.0,10800.0,144.0,3664.976666865951,3680.797330202326,3454.2260029317235,60.0,50.0,36.36363636363637,97.90211734008702,48.0,22.684409975141776,57.91386648784351,664960
80,0,0,80,75,31,44,15,44,41.333333333333336,10800.0,144.0,3243.4335472692364,3338.546361963067,4218.020090767697,50.0,38.23529411764706,27.27272727272727,90.9760505231624,58.666666666666664,12.918825477038949,50.24524665632382,786125
70,50,10,130,75,41,34,15,34,54.666666666666664,10800.0,144.0,3245.6911305771196,3211.969120132513,4342.339749290368,43.333333333333336,70.58823529411765,36.36363636363637,89.53360528557542,45.33333333333333,17.237027848083628,61.70006789541071,605138
45,55,40,140,75,43,32,15,32,57.333333333333336,10800.0,144.0,3596.6767168729302,3203.5781157520523,3999.7451673750174,56.666666666666664,61.76470588235294,45.45454545454545,92.62808285534292,42.66666666666667,22.41336675887999,63.673214087588924,573963
80,90,60,230,75,61,14,15,14,81.33333333333333,10800.0,144.0,3577.6234386953633,3655.6986409812134,3566.6779203234228,90.0,85.29411764705883,45.45454545454545,99.17573406798343,18.666666666666668,19.86546284703172,82.06961514407749,283300
90,65,5,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3377.164673511643,3646.6505793454903,3776.184747142867,70.0,58.82352941176471,54.54545454545454,96.30536968859977,37.333333333333336,12.352811398508376,66.03735032215988,536609
60,60,90,210,75,57,18,15,18,76.0,10800.0,144.0,3447.9913534585544,3539.819860335149,3812.188786206297,70.0,79.41176470588235,81.81818181818183,96.62780154863201,24.0,16.60446046655541,79.26858140369218,327556
45,60,70,175,75,50,25,15,25,66.66666666666666,10800.0,144.0,3294.8681333801806,3372.486554937059,4132.645311682761,70.0,76.47058823529412,27.27272727272727,92.24280390460574,33.33333333333333,21.756181085164894,74.26985009118732,406536
20,0,30,50,75,25,50,15,50,33.33333333333333,10800.0,144.0,3649.579319889208,3332.324422260352,3818.09625785044,33.33333333333333,38.23529411764706,18.181818181818183,95.50211263342511,66.66666666666666,15.031786400679088,41.27387597428299,927872
55,40,55,150,75,45,30,15,30,60.0,10800.0,144.0,3612.3277352381865,3275.8136502184434,3911.85861454337,50.0,73.52941176470588,45.45454545454545,94.1106947747692,40.0,16.445408558999024,64.14952969480787,566437
60,0,80,140,75,43,32,15,32,57.333333333333336,10800.0,144.0,3478.083639661053,3439.085606761585,3882.830753577362,66.66666666666666,55.88235294117647,36.36363636363637,95.89124864059467,42.66666666666667,11.146885126997962,61.02338104665608,615830
90,55,15,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3207.088657159152,3244.3690895141003,4348.542253326748,60.0,67.64705882352942,54.54545454545454,89.4309852206704,37.333333333333336,24.892543392053994,66.12519478422422,535221
60,15,45,120,75,39,36,15,36,52.0,10800.0,144.0,3592.9445037985206,3504.9020468090466,3702.153449392433,46.666666666666664,61.76470588235294,36.36363636363637,98.17359812422791,48.0,15.02854133307591,58.428012497097335,656837
65,5,65,135,75,42,33,15,33,56.00000000000001,10800.0,144.0,3482.547030785167,3694.3004071152027,3623.152562099631,56.666666666666664,55.88235294117647,54.54545454545454,98.0393205895367,44.0,14.052484325011449,62.02574397617131,599993
5,80,95,180,75,51,24,15,24,68.0,10800.0,144.0,3384.2382064450667,3204.5955041007132,4211.1662894542205,66.66666666666666,73.52941176470588,54.54545454545454,90.67990013561567,32.0,15.908859422449435,74.15355058138948,408373
75,30,10,115,75,38,37,15,37,50.66666666666667,10800.0,144.0,3624.969913233329,3255.3213404639987,3919.7087463026724,50.0,55.88235294117647,36.36363636363637,93.84826476075303,49.333333333333336,11.402190224797064,55.10191919345353,709389
70,80,55,205,75,56,19,15,19,74.66666666666667,10800.0,144.0,3565.64461793378,3453.5760934546634,3780.7792886115567,76.66666666666667,85.29411764705883,36.36363636363637,96.97034078558431,25.333333333333336,20.436527184780232,75.10574254616327,393329
30,85,0,115,75,37,38,15,38,49.333333333333336,10800.0,144.0,3458.4337535621335,3299.0458174052,4042.5204290326665,53.333333333333336,52.94117647058824,27.27272727272727,93.1159758182642,50.66666666666667,12.17656644158733,57.54312974902089,670818
0,55,15,70,75,24,51,15,51,32.0,10800.0,144.0,3627.3026788621614,3249.7069332556357,3922.9903878822033,36.666666666666664,26.47058823529412,36.36363636363637,93.7658939386429,68.0,16.793386418827534,46.706075631313894,842044
55,60,10,125,75,40,35,15,35,53.333333333333336,10800.0,144.0,3270.672336592167,3452.75832673583,4076.569336672003,50.0,61.76470588235294,36.36363636363637,92.53799074000152,46.666666666666664,10.412737956151226,56.556995331525556,686399
15,25,0,40,75,19,56,15,56,25.333333333333336,10800.0,144.0,3650.0867303848745,3316.9619986129233,3832.9512710022022,20.0,32.35294117647059,18.181818181818183,95.22232155195111,74.66666666666667,19.556464754320068,39.91408742576291,949357
55,60,55,170,75,49,26,15,26,65.33333333333333,10800.0,144.0,3263.940021867159,3445.8412275310257,4090.2187506018154,60.0,73.52941176470588,54.54545454545454,92.34927103023468,34.66666666666667,13.691731063317825,71.16684779344494,455563
85,80,75,240,75,63,12,15,12,84.0,10800.0,144.0,3344.8329162294613,3351.5950073482372,4103.5720764223015,93.33333333333333,79.41176470588235,72.72727272727273,92.97463740562185,16.0,18.09865400969293,86.47986813765888,213618
45,65,35,145,75,44,31,15,31,58.666666666666664,10800.0,144.0,3300.551570503089,3605.9616449369864,3893.486784559925,73.33333333333333,50.0,45.45454545454545,94.50985912910338,41.333333333333336,10.561086850568566,62.81338391771243,587548
55,10,80,145,75,44,31,15,31,58.666666666666664,10800.0,144.0,3693.2444366207783,3650.4988224818976,3456.256740897324,60.0,55.88235294117647,63.63636363636363,97.80566948404208,41.333333333333336,19.732403596908156,62.79131484864854,587897
60,75,65,200,75,55,20,15,20,73.33333333333333,10800.0,144.0,3461.9220962988547,3346.39270127612,3991.685202425025,63.33333333333333,88.23529411764706,54.54545454545454,94.02506943380644,26.666666666666668,17.818297190485502,78.03456638353347,347053
75,40,75,190,75,53,22,15,22,70.66666666666667,10800.0,144.0,3330.690485123809,3324.9744198091885,4144.335095067003,70.0,76.47058823529412,54.54545454545454,92.41332708094616,29.333333333333332,24.581540848196326,74.46334301315264,403479
0,80,80,160,75,44,31,15,31,58.666666666666664,10800.0,144.0,3644.595215890947,3366.2634592097243,3789.141324899328,60.0,58.82352941176471,54.54545454545454,96.08446420657775,41.333333333333336,19.155276045320996,65.59534414361411,543593
50,85,30,165,75,48,27,15,27,64.0,10800.0,144.0,3591.3090111323686,3265.7420749616867,3942.948913905944,76.66666666666667,58.82352941176471,45.45454545454545,93.72956630607169,36.0,11.124038474135581,68.19410907852149,502533
65,15,75,155,75,46,29,15,29,61.33333333333333,10800.0,144.0,3422.23314366323,3409.0873911424824,3968.6794651942873,73.33333333333333,55.88235294117647,45.45454545454545,94.81859190692774,38.666666666666664,16.150868859294526,66.2988189882448,532478
15,70,50,135,75,42,33,15,33,56.00000000000001,10800.0,144.0,3681.825586915344,3280.281441770836,3837.8929713138205,60.0,50.0,63.63636363636363,94.8369302820094,44.0,13.41556749039886,61.106203676397364,614521
100,45,60,205,75,56,19,15,19,74.66666666666667,10800.0,144.0,3460.5572255842962,3293.8297008185637,4045.61307359714,76.66666666666667,73.52941176470588,72.72727272727273,93.03904284464282,25.333333333333336,14.399654941127084,78.25273619589699,343606
60,50,40,150,75,45,30,15,30,60.0,10800.0,144.0,3663.540244810232,3263.2100650313023,3873.2496901584655,53.333333333333336,67.64705882352942,54.54545454545454,94.35148495252626,40.0,12.54913260000436,63.978706696889034,569136
80,50,45,175,75,50,25,15,25,66.66666666666666,10800.0,144.0,3662.838651680966,3586.0507196490885,3551.1106286699455,76.66666666666667,61.76470588235294,54.54545454545454,98.96548126841648,33.33333333333333,15.142909826703477,72.24610778592523,438511
50,75,35,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3413.4117223882786,3588.8637182163147,3797.7245593954067,53.333333333333336,76.47058823529412,45.45454545454545,96.44154780548955,37.333333333333336,22.958233515842807,67.06914532116333,520307
20,60,0,80,75,27,48,15,48,36.0,10800.0,144.0,3302.259062898224,3537.2487203249525,3960.492216776824,36.666666666666664,41.17647058823529,18.181818181818183,93.90524857519816,64.0,15.586416273825972,47.24949587876661,833457
40,60,15,115,75,38,37,15,37,50.66666666666667,10800.0,144.0,3600.3872498443643,3329.6381136758023,3869.9746364798334,50.0,58.82352941176471,27.27272727272727,94.99688404811081,49.333333333333336,10.748261102806943,54.56312342973468,717902
50,85,60,195,75,54,21,15,21,72.0,10800.0,144.0,3630.001097193008,3581.889764526857,3588.109138280135,70.0,76.47058823529412,63.63636363636363,99.55452469753564,28.000000000000004,13.384695206178797,73.38515685696053,420514
65,40,55,160,75,47,28,15,28,62.66666666666667,10800.0,144.0,3382.6423331673545,3495.22061529602,3922.137051536626,66.66666666666666,61.76470588235294,54.54545454545454,95.00467853361786,37.333333333333336,21.337392797458527,67.67327591506967,510762
45,5,30,80,75,31,44,15,44,41.333333333333336,10800.0,144.0,3341.044476326201,3383.1665887564004,4075.7889349173984,60.0,26.47058823529412,36.36363636363637,93.19681056860003,58.666666666666664,10.756751023106345,46.72178547534764,841795
55,70,45,170,75,49,26,15,26,65.33333333333333,10800.0,144.0,3246.010160480572,3656.011008213354,3897.9788313060744,66.66666666666666,67.64705882352942,54.54545454545454,93.963253047912,34.66666666666667,10.416740116075738,70.55778406529053,465187
70,0,35,105,75,36,39,15,39,48.0,10800.0,144.0,3446.751264739338,3628.947203104542,3724.30153215612,53.333333333333336,50.0,27.27272727272727,97.43009011651127,52.0,12.256866771672414,54.39831688668663,720506
90,90,10,190,75,53,22,15,22,70.66666666666667,10800.0,144.0,3545.4202448413644,3258.782842623188,3995.7969125354475,70.0,82.35294117647058,36.36363636363637,93.17579564896056,29.333333333333332,11.117581949520584,75.81426277816371,382134
15,0,40,55,75,22,53,15,53,29.333333333333332,10800.0,144.0,3642.524134085369,3563.8285236610764,3593.6473422535546,36.666666666666664,23.52941176470588,27.27272727272727,99.27133694051581,70.66666666666667,19.42354105492335,43.60489876526514,891042
30,70,45,145,75,44,31,15,31,58.666666666666664,10800.0,144.0,3267.9903156601395,3333.0308719220716,4198.9788124177885,60.0,67.64705882352942,27.27272727272727,91.37973614113288,41.333333333333336,11.230175736304407,63.371509129417724,578730
40,25,0,65,75,25,50,15,50,33.33333333333333,10800.0,144.0,3373.6066581396435,3312.2168395732606,4114.176502287096,30.0,32.35294117647059,45.45454545454545,92.57444756746449,66.66666666666666,24.27581624895356,46.738147850065886,841537
35,65,40,140,75,43,32,15,32,57.333333333333336,10800.0,144.0,3203.767272229433,3306.812536359187,4289.42019141138,46.666666666666664,64.70588235294117,63.63636363636363,89.94765815572272,42.66666666666667,19.144672145388782,61.063291170157285,615199
30,45,40,115,75,38,37,15,37,50.66666666666667,10800.0,144.0,3626.579341281319,3463.493203226291,3709.92745549239,46.666666666666664,55.88235294117647,45.45454545454545,97.71820136790649,49.333333333333336,21.67096749170475,56.267009683184,690981
10,75,0,85,75,31,44,15,44,41.333333333333336,10800.0,144.0,3263.368256107894,3462.889814381155,4073.741929510951,43.333333333333336,38.23529411764706,45.45454545454545,92.49654006108281,58.666666666666664,19.86370652918344,48.37281276888741,815709
85,45,5,135,75,42,33,15,33,56.00000000000001,10800.0,144.0,3277.183645024193,3388.783840851011,4134.032514124796,63.33333333333333,55.88235294117647,36.36363636363637,92.06621417499441,44.0,17.132133655090144,62.00779632394057,600276
45,20,0,65,75,27,48,15,48,36.0,10800.0,144.0,3658.217433453729,3407.993822140984,3733.7887444052876,40.0,35.294117647058826,27.27272727272727,96.9833803494046,64.0,14.618492600569503,43.956031996847045,885494
80,45,90,215,75,58,17,15,17,77.33333333333333,10800.0,144.0,3554.0792048438857,3609.493582197499,3636.4272129586157,90.0,79.41176470588235,36.36363636363637,99.23751844338213,22.666666666666664,12.760353850722911,81.14586488599768,297895
10,50,10,70,75,29,46,15,46,38.666666666666664,10800.0,144.0,3412.879354896109,3595.0414741096397,3792.079170994251,40.0,47.05882352941176,9.090909090909092,96.48889059168387,61.33333333333333,13.937769252006952,46.18831443881303,850224
30,80,40,150,75,45,30,15,30,60.0,10800.0,144.0,3543.1715497872865,3332.324173407934,3924.5042768047797,60.0,61.76470588235294,54.54545454545454,94.51685089447365,40.0,12.299454274990822,63.25830163665351,580518
0,60,10,70,75,24,51,15,51,32.0,10800.0,144.0,3695.4423166081538,3584.7071328269562,3519.8505505648895,33.33333333333333,35.294117647058826,18.181818181818183,98.37415031441422,68.0,20.15847788273922,46.908599603652135,838844
25,30,0,55,75,22,53,15,53,29.333333333333332,10800.0,144.0,3572.689463183594,3348.1965264172563,3879.1140103991497,23.333333333333332,35.294117647058826,27.27272727272727,95.08409737053802,70.66666666666667,18.58073856135428,42.91604865732104,901926
55,35,0,90,75,33,42,15,42,44.0,10800.0,144.0,3292.8902913579486,3554.2703943298447,3952.8393143122066,40.0,50.0,36.36363636363637,93.88936089857168,56.00000000000001,17.89540661624595,51.925167523200315,759582
15,0,20,35,75,21,54,15,54,28.000000000000004,10800.0,144.0,3444.490468611185,3234.442281144291,4121.067250244524,33.33333333333333,26.47058823529412,18.181818181818183,91.79050954536821,72.0,22.477080854514845,38.634608100648684,969573
85,50,85,220,75,59,16,15,16,78.66666666666666,10800.0,144.0,3398.2596126483636,3358.4993340797355,4043.2410532719005,86.66666666666667,73.52941176470588,72.72727272727273,93.65979889636884,21.333333333333336,11.732158735815304,81.5585348316591,291375
0,60,20,80,75,29,46,15,46,38.666666666666664,10800.0,144.0,3408.783941761703,3372.6281675334412,4018.5878907048555,36.666666666666664,47.05882352941176,18.181818181818183,94.01889145211653,61.33333333333333,19.030293794137517,47.45382766957669,830229
0,20,75,95,75,34,41,15,41,45.33333333333333,10800.0,144.0,3510.885983227513,3239.3545428904617,4049.7594738820253,60.0,32.35294117647059,45.45454545454545,92.496250638967,54.666666666666664,17.09056718130349,51.351344209276085,768648
90,65,60,215,75,58,17,15,17,77.33333333333333,10800.0,144.0,3297.6573341782605,3607.1605545791426,3895.182111242597,76.66666666666667,88.23529411764706,45.45454545454545,94.46736317533022,22.666666666666664,15.201340457258398,78.12258759146854,345663
90,60,55,205,75,56,19,15,19,74.66666666666667,10800.0,144.0,3531.825947284101,3643.9494772511,3624.2245754647993,100.0,70.58823529411765,18.181818181818183,98.96181916697223,25.333333333333336,12.748350661878192,78.96776754435412,332309
55,50,45,150,75,45,30,15,30,60.0,10800.0,144.0,3650.9687229442034,3667.402300309668,3481.6289767461285,70.0,55.88235294117647,45.45454545454545,98.27987663367092,40.0,12.069731833013744,63.99001100575068,568957
70,30,85,185,75,52,23,15,23,69.33333333333334,10800.0,144.0,3569.148406203638,3414.805059102176,3816.046534694186,73.33333333333333,73.52941176470588,45.45454545454545,96.28480115192583,30.666666666666664,14.701939045847345,72.99204414146786,426725
